epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.942,0.76019,0.84236,1.01907,0.89902,0.82289,0.87304,0.72409,0.65031,0.55854,0.90129,0.000554785,0.000554785,0.000554785
2,201.085,0.77217,0.56979,1.019,0.93814,0.82892,0.90014,0.72877,0.67392,0.49112,0.92905,0.00107381,0.00107381,0.00107381
3,275.013,0.80019,0.55416,1.03093,0.90673,0.84225,0.89959,0.7283,0.68661,0.5124,0.93449,0.00155615,0.00155615,0.00155615
4,349.157,0.79519,0.54039,1.02888,0.9352,0.84414,0.90607,0.72272,0.72935,0.49135,0.95032,0.00150197,0.00150197,0.00150197
5,423.188,0.79147,0.52905,1.02733,0.90787,0.85659,0.90839,0.7387,0.66616,0.50016,0.91813,0.00144696,0.00144696,0.00144696
6,495.808,0.78514,0.52159,1.02267,0.93655,0.88346,0.91859,0.75592,0.64307,0.43442,0.90682,0.00139195,0.00139195,0.00139195
7,570.822,0.7744,0.50809,1.01325,0.92978,0.88041,0.92922,0.76095,0.67427,0.44272,0.92201,0.00133693,0.00133693,0.00133693
8,644.893,0.76044,0.49302,1.00999,0.93299,0.89682,0.92211,0.77323,0.63651,0.42096,0.90243,0.00128192,0.00128192,0.00128192
9,717.694,0.75114,0.47895,1.00606,0.93291,0.88127,0.921,0.77463,0.61421,0.42571,0.88716,0.00122691,0.00122691,0.00122691
10,791.742,0.74066,0.46854,0.99965,0.94287,0.88333,0.92695,0.77953,0.60385,0.39377,0.88393,0.0011719,0.0011719,0.0011719
11,865.395,0.73874,0.46387,0.99898,0.92344,0.88319,0.92799,0.78377,0.60221,0.39991,0.88848,0.00111689,0.00111689,0.00111689
12,938.956,0.72051,0.44844,0.99215,0.92783,0.89696,0.92848,0.77307,0.65757,0.39645,0.91246,0.00106188,0.00106188,0.00106188
13,1012.65,0.71925,0.44381,0.98993,0.90223,0.91298,0.93524,0.78056,0.62064,0.39942,0.89495,0.00100687,0.00100687,0.00100687
14,1086.68,0.70897,0.4342,0.9807,0.93532,0.89872,0.93331,0.78884,0.6023,0.38206,0.87807,0.000951857,0.000951857,0.000951857
15,1160.4,0.69559,0.42323,0.97709,0.92853,0.90285,0.93491,0.7932,0.59044,0.38014,0.87461,0.000896846,0.000896846,0.000896846
16,1233.36,0.6966,0.42102,0.97569,0.94296,0.90184,0.93777,0.797,0.59817,0.36562,0.87819,0.000841835,0.000841835,0.000841835
17,1307.61,0.68676,0.41568,0.9771,0.94184,0.91106,0.94021,0.7952,0.60411,0.35525,0.87649,0.000786824,0.000786824,0.000786824
18,1381.5,0.67509,0.40341,0.96861,0.95175,0.89995,0.93812,0.80252,0.57209,0.35424,0.86537,0.000731813,0.000731813,0.000731813
19,1454.54,0.66951,0.39649,0.96624,0.94224,0.92252,0.93867,0.80672,0.56939,0.34855,0.86642,0.000676802,0.000676802,0.000676802
20,1529.32,0.6536,0.38989,0.96177,0.95735,0.89986,0.94282,0.80729,0.56594,0.34586,0.86326,0.000621791,0.000621791,0.000621791
21,1620.01,0.66461,0.34402,0.93983,0.94775,0.90553,0.93886,0.80551,0.57055,0.34306,0.8711,0.00056678,0.00056678,0.00056678
22,1692.88,0.65058,0.33273,0.93643,0.9431,0.91645,0.9405,0.80995,0.55974,0.33999,0.86244,0.000511769,0.000511769,0.000511769
23,1766.95,0.63612,0.3233,0.92838,0.94191,0.92143,0.94185,0.80757,0.55825,0.34033,0.86254,0.000456758,0.000456758,0.000456758
24,1839.91,0.62875,0.31925,0.92336,0.94516,0.90823,0.93951,0.81045,0.5585,0.33842,0.86012,0.000401747,0.000401747,0.000401747
25,1912.95,0.61955,0.31248,0.92317,0.95205,0.92042,0.94439,0.81574,0.5584,0.32051,0.8556,0.000346736,0.000346736,0.000346736
26,1986.89,0.61224,0.30422,0.91563,0.93935,0.92792,0.94434,0.81262,0.55265,0.31661,0.85799,0.000291725,0.000291725,0.000291725
27,2059.76,0.59639,0.29468,0.91124,0.93509,0.93351,0.94371,0.81478,0.54242,0.31532,0.85548,0.000236714,0.000236714,0.000236714
28,2132.25,0.59124,0.29134,0.90727,0.94811,0.92298,0.94418,0.81766,0.54042,0.31042,0.85458,0.000181703,0.000181703,0.000181703
29,2206.01,0.58335,0.28726,0.90693,0.94703,0.92882,0.94437,0.81925,0.53834,0.30575,0.85616,0.000126692,0.000126692,0.000126692
30,2279.25,0.57217,0.28441,0.90259,0.94416,0.92753,0.94463,0.81879,0.53524,0.305,0.85294,7.1681e-05,7.1681e-05,7.1681e-05
