epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.392,1.10961,1.42645,1.1515,0.90671,0.784,0.8545,0.59181,1.05471,1.05502,1.03099,0.000665056,0.000665056,0.000665056
2,258.406,1.15152,0.94964,1.17478,0.89874,0.80987,0.86832,0.59765,1.14878,0.80838,1.07531,0.00130535,0.00130535,0.00130535
3,370.309,1.13306,0.84634,1.1694,0.89799,0.80084,0.86511,0.64724,0.92203,0.76311,1.02083,0.00191925,0.00191925,0.00191925
4,475.176,1.10801,0.80078,1.16432,0.90877,0.82716,0.87816,0.67378,0.82524,0.65075,0.99283,0.0018812,0.0018812,0.0018812
5,582.011,1.06317,0.74732,1.14339,0.90762,0.84597,0.89245,0.68685,0.91777,0.57423,1.00409,0.0018416,0.0018416,0.0018416
6,689.475,1.02954,0.69979,1.12496,0.94521,0.84176,0.89934,0.68411,0.91999,0.56478,0.99967,0.001802,0.001802,0.001802
7,795.63,0.99915,0.66856,1.11789,0.92241,0.81528,0.89183,0.74031,0.67577,0.50073,0.92022,0.0017624,0.0017624,0.0017624
8,898.494,0.9789,0.63862,1.10788,0.93996,0.84176,0.90534,0.72855,0.70591,0.5462,0.93802,0.0017228,0.0017228,0.0017228
9,1003.9,0.95351,0.61813,1.09146,0.93329,0.85867,0.90975,0.74255,0.71275,0.54036,0.92981,0.0016832,0.0016832,0.0016832
10,1128.39,0.92913,0.59866,1.08046,0.92712,0.87425,0.91938,0.70833,0.90661,0.53663,0.99417,0.0016436,0.0016436,0.0016436
11,1279.57,0.9179,0.58817,1.07547,0.91,0.88568,0.91998,0.75451,0.68906,0.47041,0.91188,0.001604,0.001604,0.001604
12,1391.44,0.90272,0.57011,1.06492,0.94404,0.8729,0.91863,0.74411,0.70434,0.45984,0.92288,0.0015644,0.0015644,0.0015644
13,1497.45,0.89635,0.56159,1.0637,0.92509,0.87966,0.92062,0.76749,0.68195,0.45109,0.90213,0.0015248,0.0015248,0.0015248
14,1602.99,0.88238,0.55233,1.05871,0.93217,0.87906,0.92073,0.75761,0.68945,0.43862,0.90887,0.0014852,0.0014852,0.0014852
15,1751.31,0.86627,0.53084,1.04707,0.94659,0.87435,0.91986,0.7694,0.62983,0.43567,0.8925,0.0014456,0.0014456,0.0014456
16,1872.04,0.85827,0.52606,1.0496,0.95787,0.87425,0.92957,0.77032,0.66115,0.40789,0.89274,0.001406,0.001406,0.001406
17,1989.06,0.85872,0.5199,1.04837,0.95183,0.89711,0.92774,0.78507,0.61556,0.39849,0.8726,0.0013664,0.0013664,0.0013664
18,2093.39,0.83848,0.5024,1.03477,0.91568,0.89049,0.92111,0.7736,0.64154,0.42155,0.88513,0.0013268,0.0013268,0.0013268
19,2198.56,0.82623,0.49524,1.03178,0.95853,0.86228,0.92427,0.78129,0.62266,0.41236,0.89043,0.0012872,0.0012872,0.0012872
20,2339.59,0.83101,0.49954,1.03476,0.9456,0.8929,0.92824,0.78712,0.59996,0.40109,0.86804,0.0012476,0.0012476,0.0012476
21,2463.33,0.81878,0.49117,1.02859,0.93501,0.89163,0.92868,0.76541,0.71848,0.43879,0.9074,0.001208,0.001208,0.001208
22,2568.26,0.81064,0.48537,1.02392,0.95107,0.89892,0.92397,0.79218,0.58571,0.38776,0.86492,0.0011684,0.0011684,0.0011684
23,2675.66,0.79981,0.47382,1.01866,0.94565,0.90034,0.93161,0.79251,0.63583,0.39385,0.89072,0.0011288,0.0011288,0.0011288
24,2803.77,0.78197,0.45923,1.00718,0.95453,0.89688,0.93427,0.7715,0.72546,0.41404,0.91662,0.0010892,0.0010892,0.0010892
25,2910.9,0.77965,0.45618,1.01136,0.9519,0.90498,0.93742,0.79048,0.65512,0.38779,0.88875,0.0010496,0.0010496,0.0010496
26,3015.05,0.77294,0.44685,1.00803,0.95201,0.90433,0.93269,0.8045,0.57989,0.36805,0.85997,0.00101,0.00101,0.00101
27,3120.01,0.77018,0.4499,1.00561,0.95615,0.89222,0.93112,0.79348,0.61497,0.38499,0.86724,0.0009704,0.0009704,0.0009704
28,3225.99,0.75787,0.44069,0.99972,0.9653,0.89952,0.94278,0.81172,0.57805,0.36333,0.85505,0.0009308,0.0009308,0.0009308
29,3331.67,0.75039,0.43271,0.99826,0.96615,0.90614,0.9429,0.80717,0.58091,0.35266,0.86012,0.0008912,0.0008912,0.0008912
30,3454.49,0.74459,0.4268,0.99101,0.9593,0.90763,0.93832,0.8114,0.58451,0.35806,0.85779,0.0008516,0.0008516,0.0008516
31,3581.19,0.73701,0.42429,0.98862,0.95871,0.90817,0.93621,0.80558,0.60658,0.35119,0.87532,0.000812,0.000812,0.000812
32,3686.84,0.73133,0.41413,0.98451,0.96233,0.90687,0.93516,0.80915,0.57239,0.33973,0.85399,0.0007724,0.0007724,0.0007724
33,3791.73,0.72105,0.40888,0.98135,0.96558,0.91336,0.94263,0.81227,0.59224,0.34782,0.86339,0.0007328,0.0007328,0.0007328
34,3906.05,0.71553,0.40436,0.98308,0.95815,0.90911,0.93637,0.80921,0.60617,0.35019,0.86981,0.0006932,0.0006932,0.0006932
35,4013.18,0.70489,0.40203,0.97605,0.96039,0.90854,0.94168,0.81684,0.5683,0.34231,0.85964,0.0006536,0.0006536,0.0006536
36,4119.2,0.69971,0.39322,0.97484,0.95317,0.91396,0.94132,0.81658,0.56469,0.34045,0.85295,0.000614,0.000614,0.000614
37,4225.08,0.68955,0.39021,0.96882,0.94798,0.91998,0.93999,0.81658,0.56332,0.33363,0.85518,0.0005744,0.0005744,0.0005744
38,4331.47,0.69576,0.38645,0.96736,0.95696,0.91215,0.93978,0.81937,0.55736,0.33042,0.84901,0.0005348,0.0005348,0.0005348
39,4436.78,0.68601,0.38378,0.96899,0.95316,0.91456,0.94375,0.82065,0.56197,0.33426,0.86249,0.0004952,0.0004952,0.0004952
40,4541.76,0.6744,0.37471,0.96169,0.95928,0.92178,0.944,0.8207,0.55569,0.31831,0.86309,0.0004556,0.0004556,0.0004556
41,4635.39,0.66709,0.33056,0.94184,0.96419,0.91937,0.94368,0.82105,0.54746,0.31831,0.84345,0.000416,0.000416,0.000416
42,4725.56,0.65471,0.32241,0.93642,0.96221,0.91913,0.94425,0.82424,0.54803,0.31737,0.84381,0.0003764,0.0003764,0.0003764
43,4816,0.64293,0.31598,0.92817,0.96318,0.92178,0.94225,0.8263,0.54282,0.31489,0.84447,0.0003368,0.0003368,0.0003368
44,4906.39,0.63076,0.30954,0.92324,0.95411,0.92058,0.94234,0.82142,0.55023,0.31796,0.85304,0.0002972,0.0002972,0.0002972
45,4997.22,0.62207,0.30447,0.92015,0.9624,0.92178,0.9438,0.82521,0.54125,0.31148,0.85006,0.0002576,0.0002576,0.0002576
46,5088.25,0.60965,0.29824,0.91141,0.96113,0.92359,0.94502,0.8262,0.54533,0.3048,0.84168,0.000218,0.000218,0.000218
47,5178.42,0.60795,0.29596,0.91403,0.96471,0.92539,0.9459,0.82797,0.5509,0.30838,0.8487,0.0001784,0.0001784,0.0001784
48,5270.69,0.59873,0.29118,0.90974,0.96308,0.92359,0.94637,0.83145,0.54071,0.30232,0.84161,0.0001388,0.0001388,0.0001388
49,5362.2,0.5929,0.28527,0.9036,0.96544,0.92458,0.94674,0.82973,0.53641,0.29807,0.83921,9.92e-05,9.92e-05,9.92e-05
50,5469.97,0.58427,0.28129,0.9047,0.96596,0.92192,0.94678,0.82967,0.53777,0.30017,0.83956,5.96e-05,5.96e-05,5.96e-05
